,ags5,support_area_status,eligible_area
0,01001,C,1
1,01002,C/D,1
2,01003,C/D,1
3,01004,D,1
4,01051,C,1
5,01053,D,1
6,01054,C,1
7,01055,C,1
8,01056,C/N,1
9,01057,D,1
10,01058,D,1
11,01059,C,1
12,01060,N,0
13,01061,C/D,1
14,01062,N,0
15,02000,N,0
16,03101,N,0
17,03102,N,0
18,03103,N,0
19,03151,N,0
20,03153,C,1
21,03154,C,1
22,03155,D,1
23,03157,N,0
24,03158,N,0
25,03159,C/D,1
26,03241,N,0
27,03251,N,0
28,03252,D,1
29,03254,D,1
30,03255,C,1
31,03256,D,1
32,03257,C,1
33,03351,D,1
34,03352,C,1
35,03353,N,0
36,03354,C,1
37,03355,D,1
38,03356,D,1
39,03357,N,0
40,03358,C,1
41,03359,N,0
42,03360,C,1
43,03361,N,0
44,03401,D,1
45,03402,D,1
46,03403,D,1
47,03404,N,0
48,03405,C,1
49,03451,N,0
50,03452,D,1
51,03453,N,0
52,03454,N,0
53,03455,C,1
54,03456,N,0
55,03457,D,1
56,03458,D,1
57,03459,N,0
58,03460,N,0
59,03461,N,0
60,03462,C,1
61,04011,C/D,1
62,04012,C,1
63,05111,N,0
64,05112,D/N,1
65,05113,D/N,1
66,05114,D,1
67,05116,C,1
68,05117,D/N,1
69,05119,D,1
70,05120,D,1
71,05122,D,1
72,05124,D,1
73,05154,N,0
74,05158,N,0
75,05162,N,0
76,05166,D/N,1
77,05170,D,1
78,05314,N,0
79,05315,N,0
80,05316,N,0
81,05334,D,1
82,05358,N,0
83,05362,N,0
84,05366,N,0
85,05370,D,1
86,05374,N,0
87,05378,N,0
88,05382,N,0
89,05512,C,1
90,05513,C,1
91,05515,N,0
92,05554,N,0
93,05558,N,0
94,05562,C/D,1
95,05566,N,0
96,05570,N,0
97,05711,D,1
98,05754,N,0
99,05758,D,1
100,05762,D,1
101,05766,D,1
102,05770,N,0
103,05774,N,0
104,05911,C,1
105,05913,C,1
106,05914,C,1
107,05915,D,1
108,05916,C,1
109,05954,N,0
110,05958,N,0
111,05962,N,0
112,05966,N,0
113,05970,N,0
114,05974,N,0
115,05978,C/D,1
116,06411,N,0
117,06412,N,0
118,06413,N,0
119,06414,N,0
120,06431,N,0
121,06432,N,0
122,06433,N,0
123,06434,N,0
124,06435,N,0
125,06436,N,0
126,06437,N,0
127,06438,N,0
128,06439,N,0
129,06440,N,0
130,06531,D/N,1
131,06532,N,0
132,06533,N,0
133,06534,N,0
134,06535,D,1
135,06611,N,0
136,06631,N,0
137,06632,D/N,1
138,06633,N,0
139,06634,N,0
140,06635,D,1
141,06636,C,1
142,07111,N,0
143,07131,N,0
144,07132,N,0
145,07133,D,1
146,07134,D,1
147,07135,D,1
148,07137,N,0
149,07138,N,0
150,07140,N,0
151,07141,N,0
152,07143,N,0
153,07211,N,0
154,07231,N,0
155,07232,N,0
156,07233,N,0
157,07235,N,0
158,07311,N,0
159,07312,C/N,1
160,07313,N,0
161,07314,N,0
162,07315,N,0
163,07316,N,0
164,07317,C,1
165,07318,N,0
166,07319,N,0
167,07320,C,1
168,07331,N,0
169,07332,N,0
170,07333,C/N,1
171,07334,N,0
172,07335,C/N,1
173,07336,N,0
174,07337,N,0
175,07338,N,0
176,07339,N,0
177,07340,C/D,1
178,08111,N,0
179,08115,N,0
180,08116,N,0
181,08117,N,0
182,08118,N,0
183,08119,N,0
184,08121,N,0
185,08125,N,0
186,08126,N,0
187,08127,N,0
188,08128,N,0
189,08135,N,0
190,08136,N,0
191,08211,N,0
192,08212,N,0
193,08215,N,0
194,08216,N,0
195,08221,N,0
196,08222,N,0
197,08225,N,0
198,08226,N,0
199,08231,N,0
200,08235,N,0
201,08236,N,0
202,08237,N,0
203,08311,N,0
204,08315,N,0
205,08316,N,0
206,08317,N,0
207,08325,N,0
208,08326,N,0
209,08327,N,0
210,08335,N,0
211,08336,N,0
212,08337,N,0
213,08415,N,0
214,08416,N,0
215,08417,N,0
216,08421,N,0
217,08425,N,0
218,08426,N,0
219,08435,N,0
220,08436,N,0
221,08437,N,0
222,09161,N,0
223,09162,N,0
224,09163,N,0
225,09171,N,0
226,09172,N,0
227,09173,N,0
228,09174,N,0
229,09175,N,0
230,09176,N,0
231,09177,N,0
232,09178,N,0
233,09179,N,0
234,09180,N,0
235,09181,N,0
236,09182,N,0
237,09183,N,0
238,09184,N,0
239,09185,N,0
240,09186,N,0
241,09187,N,0
242,09188,N,0
243,09189,N,0
244,09190,N,0
245,09261,N,0
246,09262,N,0
247,09263,N,0
248,09271,N,0
249,09272,C/D,1
250,09273,N,0
251,09274,N,0
252,09275,N,0
253,09276,C/D,1
254,09277,N,0
255,09278,N,0
256,09279,N,0
257,09361,N,0
258,09362,N,0
259,09363,D,1
260,09371,N,0
261,09372,C/D,1
262,09373,N,0
263,09374,C/D,1
264,09375,N,0
265,09376,C/D,1
266,09377,C/D,1
267,09461,N,0
268,09462,N,0
269,09463,N,0
270,09464,C,1
271,09471,N,0
272,09472,N,0
273,09473,N,0
274,09474,N,0
275,09475,C/D,1
276,09476,N,0
277,09477,N,0
278,09478,N,0
279,09479,C/D,1
280,09561,N,0
281,09562,N,0
282,09563,N,0
283,09564,N,0
284,09565,N,0
285,09571,N,0
286,09572,N,0
287,09573,N,0
288,09574,N,0
289,09575,N,0
290,09576,N,0
291,09577,N,0
292,09661,N,0
293,09662,N,0
294,09663,N,0
295,09671,N,0
296,09672,N,0
297,09673,N,0
298,09674,N,0
299,09675,N,0
300,09676,N,0
301,09677,N,0
302,09678,N,0
303,09679,N,0
304,09761,N,0
305,09762,N,0
306,09763,N,0
307,09764,N,0
308,09771,N,0
309,09772,N,0
310,09773,N,0
311,09774,N,0
312,09775,N,0
313,09776,N,0
314,09777,N,0
315,09778,N,0
316,09779,N,0
317,09780,N,0
318,10041,D/N,1
319,10042,N,0
320,10043,C/D,1
321,10044,C/D,1
322,10045,N,0
323,10046,N,0
324,11000,C/D,1
325,12051,C*,1
326,12052,C**,1
327,12053,C**,1
328,12054,C*,1
329,12060,C**,1
330,12061,C*,1
331,12062,C*,1
332,12063,C*,1
333,12064,C**,1
334,12065,C*,1
335,12066,C*,1
336,12067,C**,1
337,12068,C*,1
338,12069,C*,1
339,12070,C*,1
340,12071,C**,1
341,12072,C*,1
342,12073,C**,1
343,13003,C*,1
344,13004,C*,1
345,13071,C*,1
346,13072,C*,1
347,13073,C*,1
348,13074,C*,1
349,13075,C**,1
350,13076,C*,1
351,14511,C*,1
352,14521,C*,1
353,14522,C*,1
354,14523,C*,1
355,14524,C*,1
356,14612,C*,1
357,14625,C*,1
358,14626,C**,1
359,14627,C*,1
360,14628,C*,1
361,14713,C,1
362,14729,C,1
363,14730,C,1
364,15001,C*,1
365,15002,C*,1
366,15003,C*,1
367,15081,C*,1
368,15082,C*,1
369,15083,C*,1
370,15084,C*,1
371,15085,C*,1
372,15086,C*,1
373,15087,C*,1
374,15088,C*,1
375,15089,C*,1
376,15090,C*,1
377,15091,C*,1
378,16051,C*,1
379,16052,C*,1
380,16053,C*,1
381,16054,C*,1
382,16055,C*,1
383,16056,C*,1
384,16061,C*,1
385,16062,C*,1
386,16063,C*,1
387,16064,C*,1
388,16065,C*,1
389,16066,C*,1
390,16067,C*,1
391,16068,C*,1
392,16069,C*,1
393,16070,C*,1
394,16071,C*,1
395,16072,C*,1
396,16073,C*,1
397,16074,C*,1
398,16075,C*,1
399,16076,C*,1
400,16077,C*,1
